title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words
Na Arca	Machado de Assis	1896.0	Male	1800	1942	188.0	2881.0
Na Capelinha	Auta de Sousa	1886.0	Female	1800	81871	14.0	278.0
Na Exposição	Artur Azevedo	1884.0	Male	1800	7475	23.0	564.0
Na Horta	Artur Azevedo	1898.0	Male	1800	7476	79.0	1347.0
Na fonte	Antônio Frederico de Castro Alves	1871.0	Male	1800	86638	20.0	366.0
Na margem	Antônio Frederico de Castro Alves	1871.0	Male	1800	86639	30.0	273.0
Na primeira página	Auta de Sousa	1889.0	Female	1800	81864	32.0	584.0
Na rede	Casimiro de Abreu	1860.0	Male	1800	86451	11.0	250.0
Negra Rosa & Outros Poemas	José Neres	1999.0	Male	1900	188310	315.0	7339.0
Nem uma nem outra	Machado de Assis	1880.0	Male	1800	17445	470.0	6653.0
Never more	Auta de Sousa	1901.0	Female	1900	81872	11.0	237.0
No País dos Ianques	Adolfo Caminha	1894.0	Male	1800	2146	1240.0	27823.0
No Templo	Auta de Sousa	1885.0	Female	1800	81873	13.0	128.0
No barco	Antônio Frederico de Castro Alves	1871.0	Male	1800	86640	21.0	257.0
No dia brancamente nublado entristeço	Alberto Caeiro da Silva	1914.0	Male	1900	84451	23.0	426.0
No jardim	Casimiro de Abreu	1860.0	Male	1800	86453	27.0	347.0
No lar	Casimiro de Abreu	1860.0	Male	1800	86452	69.0	888.0
No leito	Casimiro de Abreu	1860.0	Male	1800	86454	35.0	716.0
No monte	Antônio Frederico de Castro Alves	1871.0	Male	1800	86641	17.0	199.0
No país dos ianques	Adolfo Caminha	1894.0	Male	1800	20929	1035.0	26150.0
No álbum do artista	Antônio Frederico de Castro Alves	1871.0	Male	1800	86842	13.0	138.0
Noite de Almirante	Machado de Assis	1884.0	Male	1800	1916	194.0	2945.0
Noite na Taverna	Manuel Antônio Álvares de Azevedo	1855.0	Male	1800	2025	2710.0	22065.0
Noivado	Casimiro de Abreu	1860.0	Male	1800	86457	19.0	238.0
Non chegou, madre, o meu amigo	Dom Dinis	1300.0	Male	1300	86553	14.0	144.0
Nos campos	Antônio Frederico de Castro Alves	1871.0	Male	1800	86642	66.0	229.0
Notas Semanais	Machado de Assis	1876.0	Male	1800	16956	706.0	19468.0
Notas do dia: commemorando	Afonso Arinos	1921.0	Male	1900	43455	1096.0	38015.0
Nova Viagem à Lua	Artur Azevedo	1884.0	Male	1800	16569	1783.0	16395.0
Novas relíquias	Machado de Assis	1893.0	Male	1800	43456	1937.0	40763.0
Novela e Conto	Amadeu Amaral	1929.0	Male	1900	7380	128.0	3135.0
Novos Cantos	Antônio Gonçalves Dias	1857.0	Male	1800	1822	213.0	5588.0
Num meio-dia de fim de primavera	Alberto Caeiro da Silva	1914.0	Male	1900	84456	60.0	1209.0
Numa e a Ninfa	Afonso Henriques de Lima Barreto	1891.0	Male	1800	16822	5531.0	97891.0
Nunca mais	Auta de Sousa	1893.0	Female	1800	81878	12.0	178.0
Não Consultes Médico	Machado de Assis	1899.0	Male	1800	2145	627.0	6570.0
Não consultes Médico	Machado de Assis	1899.0	Male	1800	17438	1055.0	6918.0
Não tenho pressa	Alberto Caeiro da Silva	1914.0	Male	1900	84441	11.0	138.0
Não tenho pressa: não a têm o sol e a lua	Alberto Caeiro da Silva	1914.0	Male	1900	84443	18.0	266.0
Não é mel para a boca do asno	Machado de Assis	1885.0	Male	1800	17443	485.0	7016.0
O 15 e o 17	Artur Azevedo	1876.0	Male	1800	7477	90.0	962.0
O Abolicionismo	Joaquim Nabuco	1883.0	Male	1800	1835	1830.0	72356.0
O Alcaide de Santarém	Alexandre Herculano	1842.0	Male	1800	7401	407.0	9481.0
O Alforge da Boa Razão	Bruno Seabra	1871.0	Male	1800	2150	49.0	897.0
O Alienista	Machado de Assis	1882.0	Male	1800	2027	840.0	19574.0
O Anel de Polícrates	Machado de Assis	1884.0	Male	1800	1945	182.0	3410.0
O Anjo Caído	João Batista da Silva Leitão de Almeida Garrett	1838.0	Male	1800	16523	18.0	329.0
O Arco de Sant'ana	João Batista da Silva Leitão de Almeida Garrett	1838.0	Male	1800	1718	3359.0	71820.0
O Asa-negra	Artur Azevedo	1888.0	Male	1800	7427	88.0	1662.0
O Ateneu	Raul Pompéia	1888.0	Male	1800	2020	3547.0	72318.0
O BAILE DO JUDEU	Inglês de Sousa	1870.0	Female	1800	7543	51.0	1931.0
O Badejo	Artur Azevedo	1886.0	Male	1800	2068	1430.0	15032.0
O Banqueiro Anarquista	Fernando Pessoa	1922.0	Male	1900	15729	620.0	13139.0
O Barão de Pituaçu	Artur Azevedo	1871.0	Male	1800	7421	2159.0	20713.0
O Bispo Negro	Alexandre Herculano	1843.0	Male	1800	16522	193.0	4050.0
O Bobo	Alexandre Herculano	1843.0	Male	1800	5030	2653.0	61598.0
O Bote de rapé	Machado de Assis	1870.0	Male	1800	17454	166.0	1770.0
O Brasil anedótico	Humberto de Campos	1912.0	Male	1900	7542	2489.0	49030.0
O Cabeleira	Franklin Távora	1876.0	Male	1800	2073	2913.0	63980.0
O Califa da Rua do Sabão	Artur Azevedo	1896.0	Male	1800	2052	890.0	6975.0
O Cancioneiro Português da Vaticana	Teófilo Braga	1904.0	Male	1900	3741	572.0	17833.0
O Castelo da Faria	Alexandre Herculano	1836.0	Male	1800	7402	78.0	2143.0
O Caçador Doméstico	Afonso Henriques de Lima Barreto	1924.0	Male	1900	16824	31.0	738.0
O Caçador de Esmeraldas	Olavo Bilac	1906.0	Male	1900	17311	125.0	2686.0
O Cemitério dos Vivos	Afonso Henriques de Lima Barreto	1923.0	Male	1900	16825	2548.0	56365.0
O Chapéu	Artur Azevedo	1886.0	Male	1800	7478	47.0	1009.0
O Conde d'Abranhos	José Maria Eça de Queirós	1866.0	Male	1800	14020	2348.0	60462.0
O Coração e o Beijo	Auta de Sousa	1888.0	Female	1800	81945	15.0	199.0
O Cortiço	Aluísio Azevedo	1890.0	Male	1800	2018	5162.0	95426.0
O Coruja	Aluísio Azevedo	1886.0	Male	1800	7406	7154.0	129439.0
O Crime do Padre Amaro	José Maria Eça de Queirós	1875.0	Male	1800	2744	9302.0	168524.0
O Cuco	Artur Azevedo	1892.0	Male	1800	7479	26.0	603.0
O Cônego ou Metafísica do Estilo	Machado de Assis	1889.0	Male	1800	16959	115.0	2267.0
