title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words	corpus
Flor do Campo	Auta de Sousa	1918.0	Female	1900.0	81767.0	28.0	568.0	PPORTAL
Flores da Noite	Lycurgo José Henrique de Paiva	1875.0	Male	1800.0	16839.0	1366.0	27826.0	PPORTAL
Foi Buscar Lã...	Afonso Henriques de Lima Barreto	1919.0	Male	1900.0	16817.0	111.0	2503.0	PPORTAL
Folha negra	Casimiro de Abreu	1855.0	Male	1800.0	86437.0	11.0	256.0	PPORTAL
Folha rota	Machado de Assis	1884.0	Male	1800.0	17901.0	258.0	3164.0	PPORTAL
Folhas Caídas	João Batista da Silva Leitão de Almeida Garrett	1853.0	Male	1800.0	16524.0	514.0	10542.0	PPORTAL
Fragmentos de meu tempo	Geraldo Pereira	2008.0	Male	2000.0	103030.0	1420.0	35332.0	PPORTAL
Francisca	Machado de Assis	1865.0	Male	1800.0	17413.0	351.0	5676.0	PPORTAL
Frei Simão	Machado de Assis	1865.0	Male	1800.0	16939.0	166.0	3047.0	PPORTAL
Fritzmac	Artur Azevedo	1904.0	Male	1900.0	7417.0	2366.0	24454.0	PPORTAL
Fulano	Machado de Assis	1865.0	Male	1800.0	1914.0	122.0	2783.0	PPORTAL
Galeria Póstuma	Machado de Assis	1884.0	Male	1800.0	1908.0	215.0	3592.0	PPORTAL
Gardenia	Salomão Rovedo	2007.0	Male	2000.0	70019.0	1848.0	40491.0	PPORTAL
Girândola de Amores	Aluísio Azevedo	1884.0	Male	1800.0	16531.0	6642.0	110067.0	PPORTAL
Goivos	Auta de Sousa	1918.0	Female	1900.0	81773.0	30.0	443.0	PPORTAL
Goivos e Camélias	Machado de Assis	1865.0	Male	1800.0	1898.0	312.0	5434.0	PPORTAL
Goyaz	Visconde de Taunay	1875.0	Male	1800.0	19648.0	639.0	20938.0	PPORTAL
Grãos de mostarda	Humberto de Campos	1919.0	Male	1900.0	16661.0	2705.0	49243.0	PPORTAL
Guerras do Alecrim e da Manjerona	Antônio José da Silva	1737.0	Male	1700.0	1750.0	1930.0	29109.0	PPORTAL
Habilidoso	Machado de Assis	1884.0	Male	1800.0	17882.0	124.0	2659.0	PPORTAL
Hanna	Rilvan Batista de Santana	2017.0	Male	2000.0	121956.0	1315.0	33608.0	PPORTAL
Hebréia	Antônio Frederico de Castro Alves	1871.0	Male	1800.0	86836.0	21.0	286.0	PPORTAL
Helena	Machado de Assis	1876.0	Male	1800.0	16940.0	4004.0	65168.0	PPORTAL
Henriqueta Renan	Machado de Assis	1865.0	Male	1800.0	1935.0	252.0	6488.0	PPORTAL
Herói à Força	Artur Azevedo	1904.0	Male	1900.0	16568.0	1745.0	16203.0	PPORTAL
Hino ao sono	Antônio Frederico de Castro Alves	1871.0	Male	1800.0	86837.0	28.0	408.0	PPORTAL
História Vulgar	Artur Azevedo	1904.0	Male	1900.0	7466.0	98.0	1304.0	PPORTAL
História comum	Machado de Assis	1884.0	Male	1800.0	17895.0	88.0	1332.0	PPORTAL
História da Conjuração Mineira	Joaquim Norberto de Souza e Silva	1844.0	Male	1800.0	2092.0	3983.0	125336.0	PPORTAL
História da Literatura Brasileira	José Veríssimo Dias de Matos	1888.0	Male	1800.0	2127.0	4288.0	147014.0	PPORTAL
