filename	id	title	author	genre
obra_194	Esaú e Jacó Prosa:romance MdA 1904 realismo masc 	Esaú e Jacó	Machado de Assis	romance
obra_195	Eterno! Prosa:conto MdA 1899 masc 	Eterno!	Machado de Assis	conto
obra_196	Evolução Prosa:conto MdA 1906 masc 	Evolução 	Machado de Assis	conto
obra_197	Felicidade pelo casamento Prosa:conto MdA 1866 masc 	Felicidade pelo casamento	Machado de Assis	conto
obra_198	Fernando e Fernanda Prosa:conto MdA 1866 masc 	Fernando e Fernanda	Machado de Assis	conto
obra_199	Filosofia de um par de botas Prosa:conto MdA 1878 masc 	Filosofia de um par de botas	Machado de Assis	conto
obra_200	Flor anônima Prosa:conto MdA 1897 masc 	Flor anônima	Machado de Assis	conto
obra_201	Folha rota Prosa:conto MdA 1878 masc 	Folha rota	Machado de Assis	conto
obra_202	Francisca Prosa:conto MdA 1867 masc 	Francisca	Machado de Assis	conto
obra_203	Frei Simão Prosa:conto MdA 1870 masc 	Frei Simão	Machado de Assis	conto
obra_204	Habilidoso Prosa:conto MdA 1885 masc 	Habilidoso	Machado de Assis	conto
obra_205	Henrique Chaves Prosa:cronica MdA 1893 masc 	Henrique Chaves	Machado de Assis	cronica
obra_206	Henrique Lombaerts Prosa:cronica MdA 1897 masc 	Henrique Lombaerts	Machado de Assis	cronica
obra_207	História comum Prosa:conto MdA 1883 masc 	História comum	Machado de Assis	conto
obra_208	História de quinze dias Prosa:cronica MdA 1876 masc 	História de quinze dias	Machado de Assis	cronica
obra_209	História de uma fita azul Prosa:conto MdA 1875 masc 	História de uma fita azul	Machado de Assis	conto
obra_210	História de uma lágrima Prosa:conto MdA 1867 masc 	História de uma lágrima	Machado de Assis	conto
obra_211	História dos Trinta Dias Prosa:cronica MdA 1878 masc 	História dos Trinta Dias	Machado de Assis	cronica
obra_212	Histórias sem Data Prosa:conto MdA 1884 masc 	Histórias sem Data	Machado de Assis	conto
obra_213	Iaiá Garcia Prosa:romance MdA 1878 romantismo masc 	Iaiá Garcia	Machado de Assis	romance
obra_214	Idéias do canário Prosa:conto MdA 1899 masc 	Idéias do canário	Machado de Assis	conto
obra_215	Identidade Prosa:conto MdA 1887 masc 	Identidade	Machado de Assis	conto
obra_216	João Fernandes Prosa:conto MdA 1894 masc 	João Fernandes	Machado de Assis	conto
obra_217	Joaquim Serra Prosa:cronica MdA 1888 masc 	Joaquim Serra	Machado de Assis	cronica
obra_218	José de Alencar Prosa:cronica MdA 1883 masc 	José de Alencar	Machado de Assis	cronica
obra_219	Lágrimas de Xerxes Prosa:conto MdA 1899 masc 	Lágrimas de Xerxes	Machado de Assis	conto
