title	author
Vale de Josafá	Humberto de Campos
A luta	Emília Bandeira de Melo
As minas de prata	José de Alencar
Luzia Homem	Domingos Olímpio
Mota Coqueiro	José do Patrocínio
Numa e a Ninfa	Lima Barreto
O subterrâneo do morro do castelo	Lima Barreto
A cruz de fogo	José da Rocha Leão
Histórias para gente alegre: A família Agulha	Luís Guimarães Júnior
Mocidade morta	Luís Gonzaga Duque Estrada
Os papéis do coronel	Harry Laus
Os retirantes	José do Patrocínio
Statira, e Zoroastes	Lucas José de Alvarenga
Vindita braba	Othon Gama d'Eça
Brás, Bexiga e Barra Funda	Alcântara Machado
Lição Póstuma	Emília Moncorvo Bandeira de Melo
A caolha	Júlia Lopes de Almeida
As Três Idades	Cândida Fortes Brandão
